_id,date,lat,lon,name,daily_mean_swell_rating,daily_mean_wave_height_min,daily_mean_wave_height_max,daily_mean_water_temperature_max,daily_mean_water_temperature_min,weather_per_timestamp,wind_per_timestamp,n_samples_per_day
6408f49ab6d769a49c142dc1,2023_11_22,4.9135,-6.1466,Grand Drewin,3,0.60788,0.94982,29,29,NIGHT_CLEAR,Onshore,1
6408f49ab6d769a49c142dc1,2023_11_23,4.9135,-6.1466,Grand Drewin,3.07142857142857,0.87361,1.36501571428571,29,29,"CLEAR,CLEAR,CLEAR,OVERCAST,CLEAR,OVERCAST,OVERCAST,CLEAR,MOSTLY_CLOUDY,CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_THUNDER_STORMS","Cross-shore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",14
6408f49ab6d769a49c142dc1,2023_11_24,4.9135,-6.1466,Grand Drewin,3,0.866794285714286,1.35436428571429,29,29,"CLEAR,CLEAR,THUNDER_STORMS,THUNDER_SHOWERS,NIGHT_CLEAR,NIGHT_BRIEF_SHOWERS,NIGHT_OVERCAST","Cross-shore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",7
6408f49ab6d769a49c142dc1,2023_11_25,4.9135,-6.1466,Grand Drewin,2.66666666666667,0.657285,1.027005,29,29,"CLEAR,CLEAR,SHOWERS,MOSTLY_CLOUDY,THUNDER_STORMS,NIGHT_CLEAR","Onshore,Onshore,Onshore,Onshore,Onshore,Cross-shore",6
6408f49ab6d769a49c142dc1,2023_11_26,4.9135,-6.1466,Grand Drewin,3,0.780594,1.219674,29,29,"CLEAR,CLEAR,CLEAR,SHOWERS,THUNDER_STORMS,LIGHT_SHOWERS_POSSIBLE,LIGHT_RAIN,NIGHT_CLOUDY,NIGHT_THUNDER_STORMS,NIGHT_LIGHT_SHOWERS","Cross-shore,Cross-shore,Cross-shore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",10
6408f49ab6d769a49c142dc1,2023_11_27,4.9135,-6.1466,Grand Drewin,3,0.567333333333333,0.886455,29,29,"LIGHT_RAIN,LIGHT_SHOWERS,LIGHT_SHOWERS_POSSIBLE,NIGHT_LIGHT_RAIN,NIGHT_CLEAR,NIGHT_CLEAR","Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",6
6408f49ab6d769a49c142dc1,2023_11_28,4.9135,-6.1466,Grand Drewin,2.71428571428571,0.562639285714286,0.879125714285714,29,29,"CLEAR,CLEAR,CLEAR,CLEAR,MOSTLY_CLEAR,MOSTLY_CLOUDY,MOSTLY_CLOUDY,MOSTLY_CLOUDY,CLEAR,CLEAR,CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR","Offshore,Cross-shore,Cross-shore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",14
6408f49ab6d769a49c142dc1,2023_11_29,4.9135,-6.1466,Grand Drewin,2.71428571428571,0.475764285714286,0.74338,29,29,"NIGHT_CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLOUDY,BRIEF_SHOWERS,CLEAR,BRIEF_SHOWERS_POSSIBLE,CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_BRIEF_SHOWERS_POSSIBLE","Onshore,Cross-shore,Cross-shore,Cross-shore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",14
6408f49ab6d769a49c142dc1,2023_11_30,4.9135,-6.1466,Grand Drewin,2.63636363636364,0.548736363636364,0.857400909090909,29,29,"BRIEF_SHOWERS_POSSIBLE,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLOUDY,CLOUDY","Cross-shore,Cross-shore,Cross-shore,Cross-shore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",11
6408f49ab6d769a49c142dc1,2023_12_01,4.9135,-6.1466,Grand Drewin,3,0.784512352941177,1.22579823529412,29,29,"NIGHT_BRIEF_SHOWERS_POSSIBLE,NIGHT_CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,MOSTLY_CLEAR,MOSTLY_CLOUDY,CLEAR,CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_BRIEF_SHOWERS_POSSIBLE","Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",17
6408f49ab6d769a49c142dc1,2023_12_02,4.9135,-6.1466,Grand Drewin,3,0.6686375,1.04474833333333,29,29,"NIGHT_CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,THUNDER_STORMS,MOSTLY_CLEAR,MOSTLY_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_THUNDER_STORMS,NIGHT_THUNDER_STORMS","Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",12
6408f49ab6d769a49c142dc1,2023_12_03,4.9135,-6.1466,Grand Drewin,2.7,0.514892,0.804516,29,29,"CLEAR,CLEAR,MOSTLY_CLEAR,CLEAR,CLEAR,CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR","Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",10
6408f49ab6d769a49c142dc1,2023_12_04,4.9135,-6.1466,Grand Drewin,2.54545454545455,0.547529090909091,0.855514545454545,29,29,"CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,BRIEF_SHOWERS_POSSIBLE,BRIEF_SHOWERS_POSSIBLE,CLEAR,CLEAR","Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",11
6408f49ab6d769a49c142dc1,2023_12_05,4.9135,-6.1466,Grand Drewin,2.85714285714286,0.621051428571429,0.970392857142857,29,29,"CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,BRIEF_SHOWERS_POSSIBLE,MOSTLY_CLEAR,THUNDER_SHOWERS,MOSTLY_CLOUDY,MOSTLY_CLEAR,NIGHT_THUNDER_STORMS,NIGHT_MOSTLY_CLOUDY,NIGHT_THUNDER_STORMS,NIGHT_LIGHT_SHOWERS_POSSIBLE","Onshore,Cross-shore,Cross-shore,Cross-shore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",14
6408f49ab6d769a49c142dc1,2023_12_06,4.9135,-6.1466,Grand Drewin,3,0.688353333333333,1.07555333333333,29,29,"CLEAR,MOSTLY_CLEAR,CLEAR","Cross-shore,Onshore,Onshore",3
6408f49ab6d769a49c142dc1,2023_12_07,4.9135,-6.1466,Grand Drewin,2.66666666666667,0.604133333333333,0.943958333333333,29,29,"CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,MOSTLY_CLEAR,CLEAR,NIGHT_CLEAR,NIGHT_HEAVY_THUNDER_STORMS,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR","Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",12
6408f49ab6d769a49c142dc1,2023_12_08,4.9135,-6.1466,Grand Drewin,2.72727272727273,0.51247,0.800733636363636,29,29,"LIGHT_SHOWERS_POSSIBLE,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,NIGHT_MOSTLY_CLOUDY,NIGHT_CLEAR,NIGHT_BRIEF_SHOWERS_POSSIBLE,NIGHT_THUNDER_STORMS,NIGHT_CLEAR","Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Offshore,Cross-shore",11
6408f49ab6d769a49c142dc1,2023_12_09,4.9135,-6.1466,Grand Drewin,2.66666666666667,0.613205833333333,0.958134166666667,29,29,"NIGHT_CLEAR,CLEAR,CLEAR,CLEAR,MOSTLY_CLEAR,MOSTLY_CLEAR,CLEAR,CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR","Cross-shore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",12
