_id,date,lat,lon,name,daily_mean_swell_rating,daily_mean_wave_height_min,daily_mean_wave_height_max,daily_mean_water_temperature_max,daily_mean_water_temperature_min,weather_per_timestamp,wind_per_timestamp,n_samples_per_day
5842041f4e65fad6a770889f,2023_11_22,33.0754138342468,-117.3105,Grandview,2,0.17,0.48,17,17,MIST,Onshore,1
5842041f4e65fad6a770889f,2023_11_22,33.0754138342468,-117.3105,Grandview,2,0.17,0.48,17,17,MIST,Onshore,1
5842041f4e65fad6a770889f,2023_11_23,33.0754138342468,-117.3105,Grandview,2.42857142857143,0.368571428571429,0.673571428571429,17,17,"NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,MIST,MIST,BRIEF_SHOWERS","Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Cross-shore,Onshore,Onshore,Onshore",14
5842041f4e65fad6a770889f,2023_11_24,33.0754138342468,-117.3105,Grandview,1.85714285714286,0.652857142857143,0.957142857142857,17,17,"NIGHT_MOSTLY_CLOUDY,NIGHT_OVERCAST,NIGHT_SHOWERS,CLOUDY,MOSTLY_CLOUDY,CLEAR,CLEAR","Offshore,Offshore,Onshore,Onshore,Onshore,Onshore,Onshore",7
5842041f4e65fad6a770889f,2023_11_25,33.0754138342468,-117.3105,Grandview,2.83333333333333,0.466666666666667,0.773333333333333,17.3333333333333,17.3333333333333,"NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,CLEAR","Offshore,Offshore,Offshore,Offshore,Offshore,Onshore",6
5842041f4e65fad6a770889f,2023_11_26,33.0754138342468,-117.3105,Grandview,3,0.717777777777778,1.02,17,17,"NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR","Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Onshore,Onshore,Onshore",9
5842041f4e65fad6a770889f,2023_11_27,33.0754138342468,-117.3105,Grandview,2.5,0.488333333333333,0.791666666666667,17,17,"CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR","Offshore,Offshore,Cross-shore,Onshore,Onshore,Onshore",6
5842041f4e65fad6a770889f,2023_11_28,33.0754138342468,-117.3105,Grandview,2.78571428571429,0.447857142857143,0.753571428571429,17,17,"NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR","Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Cross-shore,Onshore,Onshore,Onshore",14
5842041f4e65fad6a770889f,2023_11_29,33.0754138342468,-117.3105,Grandview,2.71428571428571,0.402142857142857,0.705,17,17,"CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_MOSTLY_CLEAR,NIGHT_CLEAR,MOSTLY_CLOUDY,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR","Onshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Onshore,Onshore,Onshore,Onshore",14
5842041f4e65fad6a770889f,2023_11_30,33.0754138342468,-117.3105,Grandview,3,0.488181818181818,0.794545454545455,17,17,"NIGHT_FOG,NIGHT_FOG,NIGHT_FOG,NIGHT_FOG,NIGHT_CLEAR,NIGHT_BRIEF_SHOWERS,NIGHT_CLEAR,NIGHT_FOG,MOSTLY_CLOUDY,CLOUDY,BRIEF_SHOWERS","Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore",11
5842041f4e65fad6a770889f,2023_12_01,33.0754138342468,-117.3105,Grandview,2.88235294117647,0.917058823529412,1.16058823529412,17,17,"MOSTLY_CLOUDY,MOSTLY_CLOUDY,NIGHT_MOSTLY_CLOUDY,NIGHT_FOG,NIGHT_MOSTLY_CLOUDY,NIGHT_FOG,NIGHT_FOG,NIGHT_FOG,NIGHT_FOG,FOG,CLEAR,CLEAR,CLEAR,MOSTLY_CLEAR,MOSTLY_CLEAR,CLEAR,CLEAR","Onshore,Onshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Onshore,Onshore,Onshore,Onshore",17
5842041f4e65fad6a770889f,2023_12_02,33.0754138342468,-117.3105,Grandview,2.58333333333333,0.645,0.938333333333333,16.3333333333333,16.3333333333333,"CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,CLEAR,CLEAR,CLEAR,CLEAR","Onshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Onshore,Onshore,Onshore,Onshore",12
5842041f4e65fad6a770889f,2023_12_03,33.0754138342468,-117.3105,Grandview,2.3,0.317,0.619,16,16,"NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR","Offshore,Offshore,Offshore,Offshore,Offshore,Cross-shore,Onshore,Onshore,Onshore,Onshore",10
5842041f4e65fad6a770889f,2023_12_04,33.0754138342468,-117.3105,Grandview,2.63636363636364,0.330909090909091,0.634545454545455,16,16,"NIGHT_MOSTLY_CLOUDY,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,CLEAR,CLEAR,CLEAR","Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Onshore",11
5842041f4e65fad6a770889f,2023_12_05,33.0754138342468,-117.3105,Grandview,3,0.339285714285714,0.641428571428572,16,16,"NIGHT_MIST,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,CLEAR,CLEAR,CLEAR,MIST,MIST,MIST","Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Onshore,Onshore,Onshore,Onshore",14
5842041f4e65fad6a770889f,2023_12_06,33.0754138342468,-117.3105,Grandview,3,0.32,0.623333333333333,16,16,"NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR","Offshore,Offshore,Offshore",3
5842041f4e65fad6a770889f,2023_12_07,33.0754138342468,-117.3105,Grandview,3.33333333333333,1.01666666666667,1.25166666666667,16.8333333333333,16.8333333333333,"NIGHT_OVERCAST,NIGHT_OVERCAST,NIGHT_OVERCAST,NIGHT_MOSTLY_CLOUDY,NIGHT_MOSTLY_CLOUDY,NIGHT_BRIEF_SHOWERS,MOSTLY_CLOUDY,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR","Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Onshore,Onshore,Onshore,Onshore",12
5842041f4e65fad6a770889f,2023_12_08,33.0754138342468,-117.3105,Grandview,3.18181818181818,1.04,1.26,17,17,"NIGHT_MOSTLY_CLOUDY,NIGHT_CLOUDY,NIGHT_MOSTLY_CLOUDY,NIGHT_MOSTLY_CLOUDY,CLEAR,MOSTLY_CLOUDY,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR","Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Onshore,Onshore,Onshore,Onshore,Onshore",11
5842041f4e65fad6a770889f,2023_12_09,33.0754138342468,-117.3105,Grandview,2.91666666666667,0.71,1.00333333333333,17,17,"CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR","Onshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Cross-shore,Offshore,Offshore,Offshore",12
5842041f4e65fad6a770889f,2023_12_10,33.0754138342468,-117.3105,Grandview,2.21428571428571,0.239285714285714,0.545,16.2857142857143,16.2857142857143,"NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR","Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Onshore,Onshore,Onshore,Onshore,Onshore",14
5842041f4e65fad6a770889f,2023_12_11,33.0754138342468,-117.3105,Grandview,2,0.124285714285714,0.429285714285714,16.7142857142857,16.7142857142857,"NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR","Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Onshore,Cross-shore,Onshore,Onshore,Onshore",14
5842041f4e65fad6a770889f,2023_12_12,33.0754138342468,-117.3105,Grandview,2.8,0.519333333333333,0.823333333333333,16.8,16.8,"NIGHT_MOSTLY_CLOUDY,NIGHT_MOSTLY_CLOUDY,NIGHT_MOSTLY_CLOUDY,NIGHT_MOSTLY_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,MIST,MIST,MIST","Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Cross-shore,Onshore,Onshore,Onshore,Onshore",15
5842041f4e65fad6a770889f,2023_12_13,33.0754138342468,-117.3105,Grandview,2.58333333333333,0.505,0.809166666666667,16,16,"MIST,NIGHT_MOSTLY_CLOUDY,NIGHT_OVERCAST,NIGHT_CLOUDY,NIGHT_CLOUDY,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR","Onshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Onshore,Onshore,Onshore,Onshore,Onshore",12
5842041f4e65fad6a770889f,2023_12_14,33.0754138342468,-117.3105,Grandview,2,0.248888888888889,0.554444444444444,16.4444444444444,16.4444444444444,"NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,CLEAR,CLEAR","Offshore,Offshore,Offshore,Offshore,Offshore,Cross-shore,Offshore,Offshore,Offshore",9
5842041f4e65fad6a770889f,2023_12_15,33.0754138342468,-117.3105,Grandview,2,0.15,0.456666666666667,17,17,"NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR","Offshore,Offshore,Offshore",3
5842041f4e65fad6a770889f,2023_12_17,33.0754138342468,-117.3105,Grandview,2.66666666666667,0.433333333333333,0.736666666666667,16,16,"NIGHT_CLEAR,CLEAR,CLEAR","Offshore,Onshore,Onshore",3
5842041f4e65fad6a770889f,2023_12_18,33.0754138342468,-117.3105,Grandview,3,0.80875,1.04875,16,16,"NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,CLEAR,CLEAR,CLEAR,MOSTLY_CLOUDY","Offshore,Onshore,Offshore,Onshore,Offshore,Offshore,Onshore,Onshore",8
5842041f4e65fad6a770889f,2023_12_19,33.0754138342468,-117.3105,Grandview,3.42857142857143,1.12,1.28285714285714,16,16,"NIGHT_MOSTLY_CLOUDY,NIGHT_MOSTLY_CLOUDY,NIGHT_MOSTLY_CLOUDY,MOSTLY_CLOUDY,CLOUDY,MOSTLY_CLOUDY,MOSTLY_CLOUDY","Offshore,Offshore,Offshore,Onshore,Onshore,Onshore,Onshore",7
5842041f4e65fad6a770889f,2023_12_20,33.0754138342468,-117.3105,Grandview,2.8,0.698,1.00133333333333,16,16,"NIGHT_MIST,NIGHT_MIST,NIGHT_DRIZZLE,NIGHT_DRIZZLE,NIGHT_BRIEF_SHOWERS,NIGHT_MOSTLY_CLOUDY,NIGHT_CLEAR,MOSTLY_CLOUDY,MOSTLY_CLOUDY,MOSTLY_CLEAR,MOSTLY_CLEAR,CLEAR,CLEAR,MIST,MOSTLY_CLEAR","Offshore,Offshore,Cross-shore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Onshore,Onshore,Onshore,Onshore,Onshore",15
5842041f4e65fad6a770889f,2023_12_21,33.0754138342468,-117.3105,Grandview,3,0.842666666666667,1.13466666666667,16,16,"NIGHT_FOG,NIGHT_CLEAR,NIGHT_MIST,NIGHT_CLOUDY,NIGHT_MIST,NIGHT_CLOUDY,NIGHT_CLEAR,NIGHT_CLEAR,MOSTLY_CLOUDY,CLEAR,CLEAR,CLEAR,MOSTLY_CLOUDY,MOSTLY_CLOUDY,MOSTLY_CLOUDY","Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Onshore,Offshore,Cross-shore,Onshore,Onshore,Onshore,Cross-shore",15
5842041f4e65fad6a770889f,2023_12_22,33.0754138342468,-117.3105,Grandview,3,0.951666666666667,1.12833333333333,16,16,"NIGHT_CLEAR,NIGHT_MOSTLY_CLOUDY,NIGHT_LIGHT_SHOWERS_POSSIBLE,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_OVERCAST","Offshore,Cross-shore,Cross-shore,Cross-shore,Cross-shore,Offshore",6
5842041f4e65fad6a770889f,2023_12_24,33.0754138342468,-117.3105,Grandview,2,0.7,1.01,16,16,MOSTLY_CLOUDY,Onshore,1
5842041f4e65fad6a770889f,2023_12_25,33.0754138342468,-117.3105,Grandview,2.625,0.418125,0.7225,16,16,"MOSTLY_CLEAR,NIGHT_MOSTLY_CLEAR,NIGHT_CLEAR,NIGHT_MOSTLY_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,MIST,MIST","Onshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Onshore,Onshore,Onshore,Onshore,Onshore",16
5842041f4e65fad6a770889f,2023_12_26,33.0754138342468,-117.3105,Grandview,2.45454545454545,0.584545454545455,0.888181818181818,16.1818181818182,16.1818181818182,"CLEAR,CLEAR,NIGHT_CLEAR,NIGHT_MOSTLY_CLOUDY,NIGHT_MIST,NIGHT_OVERCAST,NIGHT_OVERCAST,NIGHT_OVERCAST,NIGHT_OVERCAST,CLEAR,MOSTLY_CLEAR","Onshore,Onshore,Onshore,Onshore,Onshore,Offshore,Offshore,Offshore,Offshore,Onshore,Onshore",11
5842041f4e65fad6a770889f,2023_12_27,33.0754138342468,-117.3105,Grandview,3,0.515,0.818,17,17,"NIGHT_CLOUDY,NIGHT_OVERCAST,NIGHT_OVERCAST,NIGHT_OVERCAST,NIGHT_OVERCAST,NIGHT_MOSTLY_CLOUDY,OVERCAST,CLEAR,CLEAR,CLEAR","Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Cross-shore,Offshore,Onshore",10
5842041f4e65fad6a770889f,2023_12_28,33.0754138342468,-117.3105,Grandview,3.1875,1.31375,1.635,17,17,"NIGHT_MOSTLY_CLOUDY,NIGHT_MIST,NIGHT_OVERCAST,NIGHT_OVERCAST,NIGHT_OVERCAST,NIGHT_OVERCAST,NIGHT_OVERCAST,NIGHT_OVERCAST,CLOUDY,MOSTLY_CLOUDY,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR","Onshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Cross-shore,Offshore,Onshore,Onshore,Onshore,Onshore,Onshore",16
5842041f4e65fad6a770889f,2023_12_29,33.0754138342468,-117.3105,Grandview,3.66666666666667,2.7,3.22777777777778,17,17,"MOSTLY_CLEAR,NIGHT_MOSTLY_CLOUDY,NIGHT_MOSTLY_CLOUDY,NIGHT_OVERCAST,NIGHT_OVERCAST,NIGHT_MIST,NIGHT_CLEAR,CLOUDY,CLOUDY","Onshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore",9
5842041f4e65fad6a770889f,2023_12_30,33.0754138342468,-117.3105,Grandview,3.85714285714286,2.29857142857143,2.74428571428571,17,17,"BRIEF_SHOWERS,NIGHT_CLEAR,NIGHT_FOG,NIGHT_RAIN_AND_FOG,NIGHT_BRIEF_SHOWERS,FOG,MOSTLY_CLEAR","Onshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore",7
