_id,date,lat,lon,name,daily_mean_swell_rating,daily_mean_wave_height_min,daily_mean_wave_height_max,daily_mean_water_temperature_max,daily_mean_water_temperature_min,weather_per_timestamp,wind_per_timestamp,n_samples_per_day
640a1e25451905fcbf9461b9,2023_11_22,-23.925,35.5306,Praia da Rocha,1,0.46172,0.72143,26,26,NIGHT_THUNDER_SHOWERS,Onshore,1
640a1e25451905fcbf9461b9,2023_11_23,-23.925,35.5306,Praia da Rocha,2.5,0.693207857142857,1.08313714285714,26,26,"CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR","Cross-shore,Cross-shore,Offshore,Cross-shore,Cross-shore,Cross-shore,Cross-shore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",14
640a1e25451905fcbf9461b9,2023_11_24,-23.925,35.5306,Praia da Rocha,2.28571428571429,0.776555714285714,1.21336857142857,26,26,"CLEAR,CLEAR,CLEAR,CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR","Cross-shore,Cross-shore,Cross-shore,Cross-shore,Onshore,Onshore,Onshore",7
640a1e25451905fcbf9461b9,2023_11_25,-23.925,35.5306,Praia da Rocha,2.83333333333333,0.821761666666667,1.284005,26,26,"CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,NIGHT_CLEAR","Cross-shore,Cross-shore,Cross-shore,Cross-shore,Onshore,Onshore",6
640a1e25451905fcbf9461b9,2023_11_26,-23.925,35.5306,Praia da Rocha,1.8,0.865906,1.35298,26,26,"CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR","Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",10
640a1e25451905fcbf9461b9,2023_11_27,-23.925,35.5306,Praia da Rocha,1.5,0.828356666666667,1.29430333333333,27,27,"CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR","Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",6
640a1e25451905fcbf9461b9,2023_11_28,-23.925,35.5306,Praia da Rocha,2.14285714285714,0.882646428571429,1.379135,27,27,"CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR","Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Cross-shore,Cross-shore,Cross-shore,Cross-shore,Cross-shore",14
640a1e25451905fcbf9461b9,2023_11_29,-23.925,35.5306,Praia da Rocha,0.857142857142857,0.836602142857143,1.30719214285714,27,27,"NIGHT_CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,THUNDER_SHOWERS,CLEAR,NIGHT_BRIEF_SHOWERS_POSSIBLE,NIGHT_THUNDER_SHOWERS,NIGHT_BRIEF_SHOWERS_POSSIBLE,NIGHT_CLEAR,NIGHT_THUNDER_STORMS,NIGHT_BRIEF_SHOWERS_POSSIBLE","Cross-shore,Offshore,Offshore,Offshore,Offshore,Offshore,Cross-shore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",14
640a1e25451905fcbf9461b9,2023_11_30,-23.925,35.5306,Praia da Rocha,0.272727272727273,1.45892090909091,2.27956272727273,27,27,"LIGHT_SHOWERS,BRIEF_SHOWERS,LIGHT_SHOWERS,OVERCAST,OVERCAST,BRIEF_SHOWERS,MOSTLY_CLEAR,MOSTLY_CLOUDY,LIGHT_SHOWERS,BRIEF_SHOWERS,NIGHT_CLOUDY","Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",11
640a1e25451905fcbf9461b9,2023_12_01,-23.925,35.5306,Praia da Rocha,1.23529411764706,1.20226705882353,1.87854294117647,27,27,"NIGHT_CLOUDY,NIGHT_CLOUDY,CLOUDY,MOSTLY_CLOUDY,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR","Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",17
