_id,date,lat,lon,name,daily_mean_swell_rating,daily_mean_wave_height_min,daily_mean_wave_height_max,daily_mean_water_temperature_max,daily_mean_water_temperature_min,weather_per_timestamp,wind_per_timestamp,n_samples_per_day
640a3c9b4eb37532bc93959b,2023_11_22,-12.5759,-76.7146,Puerto Viejo,3,0.83765,1.30883,19,19,MOSTLY_CLEAR,Onshore,1
640a3c9b4eb37532bc93959b,2023_11_23,-12.5759,-76.7146,Puerto Viejo,3,1.11138857142857,1.73654428571429,19,19,"NIGHT_CLEAR,NIGHT_CLOUDY,NIGHT_CLOUDY,MOSTLY_CLOUDY,MOSTLY_CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLOUDY,MOSTLY_CLEAR,MOSTLY_CLEAR,MOSTLY_CLOUDY,MOSTLY_CLOUDY","Cross-shore,Onshore,Onshore,Cross-shore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Cross-shore",14
640a3c9b4eb37532bc93959b,2023_11_24,-12.5759,-76.7146,Puerto Viejo,3.42857142857143,1.19228571428571,1.86294428571429,19,19,"NIGHT_CLOUDY,MOSTLY_CLOUDY,MOSTLY_CLEAR,MOSTLY_CLEAR,MOSTLY_CLEAR,MOSTLY_CLEAR,MOSTLY_CLOUDY","Onshore,Cross-shore,Onshore,Onshore,Onshore,Onshore,Cross-shore",7
640a3c9b4eb37532bc93959b,2023_11_25,-12.5759,-76.7146,Puerto Viejo,3.83333333333333,1.19256333333333,1.86338,19.5,19.5,"NIGHT_CLOUDY,NIGHT_CLOUDY,CLOUDY,CLOUDY,CLOUDY,CLEAR","Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",6
640a3c9b4eb37532bc93959b,2023_11_26,-12.5759,-76.7146,Puerto Viejo,3.1,1.056529,1.650824,20,20,"NIGHT_CLEAR,NIGHT_MOSTLY_CLOUDY,MOSTLY_CLOUDY,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,MOSTLY_CLEAR,CLEAR","Onshore,Onshore,Cross-shore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",10
640a3c9b4eb37532bc93959b,2023_11_27,-12.5759,-76.7146,Puerto Viejo,2.16666666666667,0.73398,1.14684166666667,19,19,"CLOUDY,CLOUDY,CLOUDY,CLEAR,CLEAR,CLEAR","Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",6
640a3c9b4eb37532bc93959b,2023_11_28,-12.5759,-76.7146,Puerto Viejo,2.64285714285714,0.597497857142857,0.933589285714286,19,19,"NIGHT_CLOUDY,NIGHT_CLOUDY,NIGHT_CLOUDY,NIGHT_MOSTLY_CLOUDY,MOSTLY_CLOUDY,MOSTLY_CLOUDY,MOSTLY_CLOUDY,MOSTLY_CLOUDY,MOSTLY_CLEAR,MOSTLY_CLEAR,MOSTLY_CLEAR,MOSTLY_CLOUDY,CLEAR,CLEAR","Cross-shore,Cross-shore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",14
640a3c9b4eb37532bc93959b,2023_11_29,-12.5759,-76.7146,Puerto Viejo,2.78571428571429,0.840827142857143,1.31379285714286,19.5714285714286,19.5714285714286,"NIGHT_CLEAR,NIGHT_CLOUDY,NIGHT_CLOUDY,NIGHT_CLOUDY,NIGHT_CLOUDY,NIGHT_CLOUDY,CLEAR,CLOUDY,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR","Cross-shore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",14
640a3c9b4eb37532bc93959b,2023_11_30,-12.5759,-76.7146,Puerto Viejo,2.90909090909091,0.813450909090909,1.27101818181818,20,20,"NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_MOSTLY_CLEAR,MOSTLY_CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR","Cross-shore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",11
640a3c9b4eb37532bc93959b,2023_12_01,-12.5759,-76.7146,Puerto Viejo,2.64705882352941,0.792228235294118,1.23785647058824,19.8235294117647,19.8235294117647,"NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLOUDY,CLOUDY,MOSTLY_CLOUDY,CLEAR,MOSTLY_CLOUDY,CLEAR,CLEAR,CLEAR,MOSTLY_CLEAR,MOSTLY_CLEAR,MOSTLY_CLEAR,CLEAR","Cross-shore,Cross-shore,Cross-shore,Cross-shore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",17
640a3c9b4eb37532bc93959b,2023_12_02,-12.5759,-76.7146,Puerto Viejo,3.16666666666667,1.067935,1.66864583333333,18.3333333333333,18.3333333333333,"CLEAR,NIGHT_CLOUDY,NIGHT_CLOUDY,NIGHT_CLOUDY,NIGHT_MOSTLY_CLOUDY,CLEAR,MOSTLY_CLOUDY,CLEAR,MOSTLY_CLEAR,CLEAR,MOSTLY_CLEAR,CLEAR","Cross-shore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Cross-shore,Cross-shore",12
640a3c9b4eb37532bc93959b,2023_12_03,-12.5759,-76.7146,Puerto Viejo,3.3,1.28633,2.009891,18,18,"NIGHT_MOSTLY_CLOUDY,NIGHT_MOSTLY_CLOUDY,NIGHT_MOSTLY_CLOUDY,MOSTLY_CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,MOSTLY_CLOUDY","Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",10
640a3c9b4eb37532bc93959b,2023_12_04,-12.5759,-76.7146,Puerto Viejo,3.63636363636364,1.24867727272727,1.95105909090909,18,18,"NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLOUDY,NIGHT_CLOUDY,CLOUDY,CLOUDY,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR","Onshore,Onshore,Onshore,Onshore,Cross-shore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",11
