_id,date,lat,lon,name,daily_mean_swell_rating,daily_mean_wave_height_min,daily_mean_wave_height_max,daily_mean_water_temperature_max,daily_mean_water_temperature_min,weather_per_timestamp,wind_per_timestamp,n_samples_per_day
640a5d394eb375228a9b8e6d,2023_11_22,7.2145,100.5926,Samila Beach,1,0.2189,0.34203,30,30,NIGHT_LIGHT_RAIN,Cross-shore,1
640a5d394eb375228a9b8e6d,2023_11_23,7.2145,100.5926,Samila Beach,1,0.189263571428571,0.295724285714286,30,30,"OVERCAST,OVERCAST,OVERCAST,CLEAR,NIGHT_THUNDER_SHOWERS,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_THUNDER_STORMS,NIGHT_BRIEF_SHOWERS_POSSIBLE,NIGHT_THUNDER_STORMS,NIGHT_LIGHT_SHOWERS_POSSIBLE,NIGHT_BRIEF_SHOWERS_POSSIBLE,NIGHT_LIGHT_RAIN","Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Cross-shore,Cross-shore",14
640a5d394eb375228a9b8e6d,2023_11_24,7.2145,100.5926,Samila Beach,1,0.383682857142857,0.599507142857143,30,30,"THUNDER_SHOWERS,LIGHT_SHOWERS_POSSIBLE,NIGHT_LIGHT_SHOWERS_POSSIBLE,NIGHT_LIGHT_SHOWERS_POSSIBLE,NIGHT_CLOUDY,NIGHT_LIGHT_RAIN,NIGHT_LIGHT_SHOWERS","Cross-shore,Onshore,Onshore,Onshore,Cross-shore,Cross-shore,Cross-shore",7
640a5d394eb375228a9b8e6d,2023_11_25,7.2145,100.5926,Samila Beach,0.833333333333333,0.44112,0.689251666666667,30,30,"LIGHT_RAIN,RAIN,LIGHT_RAIN,NIGHT_THUNDER_SHOWERS,NIGHT_HEAVY_RAIN,NIGHT_HEAVY_THUNDER_STORMS","Onshore,Onshore,Onshore,Onshore,Onshore,Onshore",6
640a5d394eb375228a9b8e6d,2023_11_26,7.2145,100.5926,Samila Beach,0.5,0.378425,0.591289,30,30,"HEAVY_THUNDER_STORMS,HEAVY_THUNDER_STORMS,LIGHT_RAIN,NIGHT_OVERCAST,NIGHT_OVERCAST,NIGHT_HEAVY_THUNDER_STORMS,NIGHT_LIGHT_RAIN,NIGHT_LIGHT_SHOWERS,NIGHT_LIGHT_SHOWERS,NIGHT_OVERCAST","Cross-shore,Cross-shore,Cross-shore,Cross-shore,Cross-shore,Cross-shore,Cross-shore,Cross-shore,Cross-shore,Cross-shore",10
640a5d394eb375228a9b8e6d,2023_11_27,7.2145,100.5926,Samila Beach,0.5,0.441646666666667,0.690076666666667,29,29,"NIGHT_LIGHT_RAIN,NIGHT_LIGHT_RAIN,NIGHT_THUNDER_SHOWERS,NIGHT_RAIN,NIGHT_LIGHT_RAIN,NIGHT_LIGHT_SHOWERS","Cross-shore,Cross-shore,Onshore,Cross-shore,Cross-shore,Cross-shore",6
640a5d394eb375228a9b8e6d,2023_11_28,7.2145,100.5926,Samila Beach,0.142857142857143,0.502210714285714,0.784703571428571,29,29,"CLEAR,CLEAR,LIGHT_SHOWERS,THUNDER_STORMS,LIGHT_SHOWERS,NIGHT_CLOUDY,NIGHT_CLOUDY,NIGHT_CLEAR,NIGHT_CLOUDY,NIGHT_THUNDER_STORMS,NIGHT_CLOUDY,NIGHT_THUNDER_STORMS,NIGHT_THUNDER_STORMS,NIGHT_LIGHT_SHOWERS_POSSIBLE","Cross-shore,Cross-shore,Cross-shore,Cross-shore,Cross-shore,Cross-shore,Cross-shore,Cross-shore,Cross-shore,Cross-shore,Cross-shore,Cross-shore,Onshore,Cross-shore",14
640a5d394eb375228a9b8e6d,2023_11_29,7.2145,100.5926,Samila Beach,0.928571428571429,0.52756,0.82431,29,29,"THUNDER_STORMS,LIGHT_SHOWERS_POSSIBLE,THUNDER_SHOWERS,THUNDER_SHOWERS,THUNDER_SHOWERS,THUNDER_SHOWERS,NIGHT_THUNDER_SHOWERS,NIGHT_THUNDER_SHOWERS,NIGHT_THUNDER_SHOWERS,NIGHT_THUNDER_STORMS,NIGHT_LIGHT_RAIN,NIGHT_LIGHT_SHOWERS,NIGHT_HEAVY_THUNDER_STORMS,NIGHT_LIGHT_RAIN","Cross-shore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Cross-shore,Cross-shore,Cross-shore,Cross-shore,Cross-shore,Cross-shore",14
640a5d394eb375228a9b8e6d,2023_11_30,7.2145,100.5926,Samila Beach,1,0.344067272727273,0.537607272727273,29,29,"CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,NIGHT_THUNDER_STORMS,NIGHT_BRIEF_SHOWERS_POSSIBLE,NIGHT_CLEAR,NIGHT_LIGHT_SHOWERS_POSSIBLE,NIGHT_CLEAR,NIGHT_THUNDER_SHOWERS","Cross-shore,Cross-shore,Cross-shore,Cross-shore,Cross-shore,Cross-shore,Cross-shore,Cross-shore,Onshore,Onshore,Onshore",11
640a5d394eb375228a9b8e6d,2023_12_01,7.2145,100.5926,Samila Beach,0.941176470588235,0.401757647058824,0.627745882352941,29.1764705882353,29.1764705882353,"BRIEF_SHOWERS_POSSIBLE,THUNDER_STORMS,LIGHT_SHOWERS_POSSIBLE,LIGHT_SHOWERS_POSSIBLE,LIGHT_SHOWERS_POSSIBLE,BRIEF_SHOWERS_POSSIBLE,BRIEF_SHOWERS_POSSIBLE,NIGHT_THUNDER_SHOWERS,NIGHT_THUNDER_SHOWERS,NIGHT_THUNDER_SHOWERS,NIGHT_HEAVY_THUNDER_STORMS,NIGHT_HEAVY_THUNDER_STORMS,NIGHT_THUNDER_STORMS,NIGHT_BRIEF_SHOWERS_POSSIBLE,NIGHT_CLEAR,NIGHT_CLEAR,NIGHT_BRIEF_SHOWERS_POSSIBLE","Onshore,Onshore,Cross-shore,Cross-shore,Cross-shore,Cross-shore,Cross-shore,Onshore,Onshore,Cross-shore,Cross-shore,Cross-shore,Cross-shore,Cross-shore,Cross-shore,Cross-shore,Cross-shore",17
